Sion,Jarvan IV,Corki,Lucian,Thresh
Kayle,Rek'Sai,Ahri,Draven,Morgana
Karma,Lee Sin,Sylas,Kog'Maw,Braum
Hecarim,Jarvan IV,LeBlanc,Draven,Morgana
Gangplank,Taliyah,Sylas,Tristana,Alistar
Vladimir,Trundle,Ryze,Ashe,Tahm Kench
Jarvan IV,Karthus,Corki,Jhin,Tahm Kench
Renekton,Gragas,Ryze,Ashe,Braum
Poppy,Jarvan IV,Corki,Kai'Sa,Alistar
Gangplank,Xin Zhao,Syndra,Lucian,Braum
Gnar,Xin Zhao,Zoe,Lucian,Braum
Yorick,Skarner,Syndra,Ashe,Morgana
Aatrox,Xin Zhao,Lissandra,Xayah,Rakan
Yorick,Jarvan IV,Syndra,Ezreal,Galio
Vladimir,Lee Sin,Sylas,Sivir,Tahm Kench
Hecarim,Jarvan IV,Yasuo,Kai'Sa,Galio
Vladimir,Rek'Sai,Sylas,Sivir,Tahm Kench
Renekton,Jarvan IV,Karma,Kai'Sa,Galio
Renekton,Rek'Sai,Sylas,Ashe,Tahm Kench
Jarvan IV,Nocturne,Vayne,Kai'Sa,Galio
Gangplank,Taliyah,Lissandra,Kalista,Alistar
Kayle,Urgot,Zoe,Tristana,Nautilus
Aatrox,Urgot,Syndra,Tristana,Braum
Poppy,Jarvan IV,Lissandra,Kalista,Thresh
Gangplank,Jarvan IV,Lissandra,Kalista,Morgana
Yorick,Urgot,Corki,Xayah,Rakan