Aatrox,Rek'Sai,Akali,Draven,Galio
Ryze,Jarvan IV,Jayce,Neeko,Tahm Kench
Kennen,Rek'Sai,Yasuo,Sona,Taric
Ryze,Morgana,Pyke,Xayah,Rakan
Irelia,Olaf,Lissandra,Sona,Taric
Hecarim,Nocturne,Ryze,Varus,Galio
Gangplank,Skarner,Sylas,Ashe,Tahm Kench
Aatrox,Rek'Sai,Lissandra,Kai'Sa,Pyke
Aatrox,Rek'Sai,Lissandra,Vayne,Pyke
Kennen,Jarvan IV,Ryze,Ezreal,Braum
Aatrox,Rek'Sai,Lissandra,Twitch,Annie
Jarvan IV,Skarner,Ryze,Sona,Taric
Kennen,Karthus,Zed,Varus,Blitzcrank
Aatrox,Kindred,Sion,Sona,Taric
Gangplank,Rek'Sai,Corki,Xayah,Rakan
Swain,Jarvan IV,Lissandra,Jinx,Tahm Kench
Irelia,Rek'Sai,Swain,Xayah,Rakan
Poppy,Jarvan IV,Lissandra,Varus,Tahm Kench
Hecarim,Rek'Sai,Ryze,Kalista,Braum
Urgot,Jarvan IV,Zoe,Kai'Sa,Galio
Shen,Hecarim,Sylas,Veigar,Tahm Kench
Lissandra,Jarvan IV,Vayne,Sivir,Alistar
Aatrox,Jarvan IV,Lissandra,Vayne,Rakan
Shen,Rek'Sai,Azir,Jinx,Thresh
Sion,Skarner,Ryze,Tristana,Braum
Cho'Gath,Rek'Sai,Kayle,Sivir,Thresh
Jarvan IV,Karthus,Syndra,Sivir,Alistar
Jayce,Rek'Sai,Corki,Zoe,Tahm Kench
Hecarim,Rek'Sai,Morgana,Kalista,Galio
Shen,Jarvan IV,Syndra,Vayne,Braum
Jayce,Rek'Sai,Lissandra,Vel'Koz,Tahm Kench
Jarvan IV,Gragas,Azir,Jinx,Thresh
Karma,Rek'Sai,Zoe,Ashe,Tahm Kench
Kennen,Skarner,Azir,Xayah,Rakan
Hecarim,Jarvan IV,LeBlanc,Ezreal,Braum
Gangplank,Urgot,Morgana,Xayah,Rakan
Jayce,Gragas,Yasuo,Jinx,Thresh
Sion,Rek'Sai,Kayle,Sivir,Braum
Aatrox,Karthus,Lissandra,Kai'Sa,Thresh
Kennen,Jarvan IV,Zoe,Tristana,Braum
Gangplank,Karthus,Lissandra,Vayne,Alistar
Lucian,Jarvan IV,Taliyah,Ezreal,Braum