Hecarim,Jarvan IV,Azir,Jhin,Braum
Vladimir,Rek'Sai,Sylas,Varus,Tahm Kench
Akali,Nocturne,Vladimir,Kai'Sa,Galio
Sion,Rek'Sai,Lissandra,Ezreal,Braum
Vladimir,Kindred,Syndra,Ashe,Braum
Kennen,Rek'Sai,Sylas,Varus,Tahm Kench
Kennen,Nocturne,Azir,Xayah,Tahm Kench
Vladimir,Zac,Vel'Koz,Kai'Sa,Alistar
Renekton,Zac,LeBlanc,Kai'Sa,Galio
Cho'Gath,Olaf,Nautilus,Vayne,Braum
Ornn,Jarvan IV,Azir,Varus,Tahm Kench
Kennen,Sejuani,LeBlanc,Ashe,Thresh
Kennen,Skarner,Ryze,Jinx,Galio
Ornn,Xin Zhao,Corki,Vayne,Braum
Kennen,Nocturne,Corki,Kai'Sa,Galio
Gangplank,Kindred,Azir,Varus,Tahm Kench
Nautilus,Taliyah,Ryze,Tristana,Alistar
Irelia,Olaf,Jayce,Caitlyn,Morgana
Kennen,Jarvan IV,Azir,Varus,Thresh
Gangplank,Lee Sin,Akali,Lucian,Braum
Hecarim,Jarvan IV,Ryze,Sivir,Braum
Gangplank,Lee Sin,Zoe,Ashe,Tahm Kench
Kennen,Rek'Sai,Ryze,Ezreal,Gragas
Yorick,Sejuani,Taliyah,Vayne,Alistar