Kennen,Lee Sin,Syndra,Kai'Sa,Galio
Swain,Jarvan IV,Morgana,Varus,Braum
Irelia,Gragas,Zoe,Xayah,Galio
Renekton,Jarvan IV,Syndra,Varus,Thresh
Sylas,Jarvan IV,Lissandra,Varus,Morgana
Aatrox,Camille,Corki,Lucian,Thresh
Sylas,Lee Sin,Lissandra,Ashe,Tahm Kench
Aatrox,Gragas,Corki,Lucian,Thresh
Aatrox,Skarner,Galio,Lucian,Alistar
Akali,Rek'Sai,Ahri,Xayah,Rakan
Kennen,Sejuani,Irelia,Lucian,Taric
Renekton,Jarvan IV,Lissandra,Vayne,Braum
Hecarim,Jarvan IV,Corki,Kalista,Galio
Vladimir,Rek'Sai,Azir,Lucian,Braum
Jayce,Jarvan IV,Galio,Kalista,Thresh
Yasuo,Rek'Sai,Akali,Lucian,Braum
Ryze,Rek'Sai,Corki,Lucian,Braum
Urgot,Jarvan IV,Sylas,Kalista,Shen
Jayce,Skarner,Syndra,Lucian,Morgana
Hecarim,Jarvan IV,Irelia,Kai'Sa,Tahm Kench
Gnar,Sylas,Syndra,Kalista,Taric
Hecarim,Jarvan IV,Ryze,Lucian,Nautilus
Ryze,Lee Sin,Irelia,Kai'Sa,Rakan
Kennen,Jarvan IV,Syndra,Vayne,Tahm Kench
Hecarim,Urgot,Ryze,Kai'Sa,Pyke
Renekton,Jarvan IV,Sylas,Jinx,Tahm Kench